tempo(s),mediatemp
10,24.72
12,24.74
14,24.76
16,24.78
18,24.78
20,24.8
22,24.8
24,24.82
26,24.82
28,24.82
30,24.84
32,24.86
34,24.86
36,24.88
38,24.92
40,24.94
42,24.96
44,24.98
46,25.0
48,25.02
50,25.04
52,25.08
54,25.12
57,25.16
59,25.2
61,25.24
63,25.28
65,25.32
67,25.38
69,25.42
71,25.48
73,25.52
75,25.56
77,25.6
79,25.64
81,25.68
83,25.72
85,25.78
87,25.84
89,25.9
91,25.94
93,25.98
95,26.02
97,26.04
99,26.08
101,26.14
103,26.2
105,26.26
107,26.32
109,26.36
111,26.4
113,26.46
115,26.5
117,26.56
119,26.62
121,26.68
123,26.74
125,26.78
127,26.82
129,26.86
131,26.9
133,26.92
135,26.96
137,26.98
139,27.0
141,27.02
143,27.04
145,27.08
147,27.12
149,27.16
151,27.2
153,27.24
155,27.28
157,27.32
159,27.36
161,27.4
163,27.44
165,27.46
167,27.5
169,27.54
171,27.56
173,27.6
175,27.64
177,27.66
179,27.7
181,27.72
183,27.74
185,27.74
187,27.76
189,27.78
192,27.78
194,27.78
196,27.78
198,27.76
200,27.72
202,27.72
204,27.7
206,27.7
208,27.7
210,27.68
212,27.66
214,27.64
216,27.62
218,27.6
220,27.6
222,27.6
224,27.58
226,27.56
228,27.54
230,27.52
232,27.5
234,27.5
236,27.52
238,27.52
240,27.52
242,27.52
244,27.54
246,27.54
248,27.56
250,27.58
252,27.6
254,27.6
256,27.6
258,27.6
260,27.62
262,27.64
264,27.66
266,27.68
268,27.7
270,27.72
272,27.74
274,27.74
276,27.76
278,27.8
280,27.82
282,27.84
284,27.88
286,27.92
288,27.94
290,27.96
292,27.98
294,28.0
296,28.0
298,28.0
300,28.0
302,28.02
304,28.04
306,28.06
308,28.1
310,28.14
312,28.14
314,28.16
316,28.2
318,28.2
320,28.24
322,28.28
324,28.3
326,28.3
329,28.34
331,28.34
333,28.36
335,28.38
337,28.4
339,28.4
341,28.42
343,28.46
345,28.5
347,28.54
349,28.58
351,28.6
353,28.62
355,28.64
357,28.66
359,28.68
361,28.72
363,28.72
365,28.74
367,28.76
369,28.78
371,28.8
373,28.84
375,28.86
377,28.88
379,28.92
381,28.94
383,28.94
385,28.96
387,28.98
389,28.98
391,29.0
393,29.04
395,29.06
397,29.08
399,29.1
401,29.12
403,29.12
405,29.14
407,29.16
409,29.18
411,29.18
413,29.2
415,29.22
417,29.22
419,29.24
421,29.26
423,29.3
425,29.32
427,29.36
429,29.38
431,29.4
433,29.4
435,29.4
437,29.4
439,29.42
441,29.44
443,29.46
445,29.46
447,29.48
449,29.5
451,29.5
453,29.5
455,29.52
457,29.54
459,29.54
461,29.56
463,29.58
466,29.6
468,29.6
470,29.6
472,29.6
474,29.6
476,29.6
478,29.58
480,29.56
482,29.54
484,29.52
486,29.52
488,29.52
490,29.52
492,29.52
494,29.52
496,29.5
498,29.5
500,29.48
502,29.46
504,29.44
506,29.42
508,29.4
510,29.4
512,29.42
514,29.42
516,29.44
518,29.46
520,29.48
522,29.48
524,29.5
526,29.5
528,29.5
530,29.5
532,29.52
534,29.54
536,29.54
538,29.56
540,29.58
542,29.58
544,29.58
546,29.6
548,29.6
550,29.62
552,29.62
554,29.64
556,29.66
558,29.68
560,29.68
562,29.7
564,29.7
566,29.7
568,29.72
570,29.72
572,29.74
574,29.76
576,29.78
578,29.8
580,29.84
582,29.86
584,29.88
586,29.9
588,29.9
590,29.9
592,29.92
594,29.94
596,29.94
598,29.98
600,30.02
603,30.04
605,30.06
607,30.1
609,30.1
611,30.1
613,30.1
615,30.1
617,30.12
619,30.14
621,30.16
623,30.18
625,30.22
627,30.22
629,30.24
631,30.26
633,30.28
635,30.28
637,30.3
639,30.32
641,30.34
643,30.36
645,30.38
647,30.42
649,30.42
651,30.42
653,30.42
655,30.44
657,30.46
659,30.5
661,30.52
663,30.56
665,30.58
667,30.58
669,30.58
671,30.6
673,30.62
675,30.62
677,30.64
679,30.64
681,30.66
683,30.66
685,30.68
687,30.7
689,30.72
691,30.74
693,30.78
695,30.8
697,30.82
699,30.84
701,30.86
703,30.86
705,30.88
707,30.88
709,30.92
711,30.94
714,30.94
716,30.94
718,30.96
720,30.94
722,30.94
724,30.96
726,31.0
728,31.0
730,31.04
732,31.04
734,31.06
736,31.06
738,31.08
741,31.08
743,31.1
745,31.1
747,31.12
749,31.14
751,31.14
753,31.16
755,31.18
757,31.2
759,31.22
761,31.26
763,31.28
765,31.3
767,31.32
769,31.34
771,31.34
773,31.36
775,31.38
777,31.38
779,31.38
781,31.4
783,31.38
785,31.38
787,31.38
789,31.4
791,31.42
793,31.46
795,31.48
797,31.5
799,31.5
801,31.5
803,31.5
805,31.52
807,31.54
809,31.56
811,31.58
813,31.6
815,31.6
817,31.6
819,31.6
821,31.6
823,31.6
825,31.6
827,31.62
829,31.64
831,31.66
833,31.68
835,31.7
837,31.7
839,31.7
841,31.74
843,31.74
845,31.78
847,31.82
849,31.86
851,31.86
853,31.9
855,31.9
857,31.9
859,31.9
861,31.92
863,31.92
865,31.94
867,31.96
869,31.98
871,31.98
873,32.0
876,32.0
878,32.02
880,32.04
882,32.06
884,32.08
886,32.1
888,32.1
890,32.1
892,32.1
894,32.1
896,32.1
898,32.12
900,32.12
902,32.12
904,32.14
906,32.16
908,32.16
910,32.18
912,32.2
914,32.2
916,32.22
918,32.24
920,32.26
922,32.28
924,32.3
926,32.3
928,32.3
930,32.32
932,32.34
934,32.36
936,32.38
938,32.4
940,32.4
942,32.4
944,32.4
946,32.4
948,32.42
950,32.42
952,32.42
954,32.42
956,32.44
958,32.42
960,32.44
962,32.44
964,32.46
966,32.46
968,32.48
970,32.48
972,32.52
974,32.52
976,32.52
978,32.52
980,32.54
982,32.54
984,32.56
986,32.58
988,32.6
990,32.6
992,32.6
994,32.6
996,32.6
998,32.6
1000,32.6
1002,32.6
1004,32.62
1006,32.64
1008,32.64
1010,32.64
1013,32.68
1015,32.68
1017,32.68
1019,32.72
1021,32.74
1023,32.72
1025,32.72
1027,32.74
1029,32.74
1031,32.76
1033,32.78
1035,32.8
1037,32.8
1039,32.8
1041,32.8
1043,32.82
1045,32.84
1047,32.86
1049,32.88
1051,32.9
1053,32.9
1055,32.9
1057,32.9
1059,32.9
1061,32.9
1063,32.9
1065,32.9
1067,32.9
1069,32.9
1071,32.92
1073,32.92
1075,32.94
1077,32.94
1079,32.94
1081,32.94
1083,32.96
1085,32.96
1087,32.98
1089,33.0
1091,33.0
1093,33.0
1095,33.02
1097,33.02
1099,33.04
1101,33.06
1103,33.08
1105,33.08
1107,33.1
1109,33.1
1111,33.1
1113,33.1
1115,33.1
1117,33.1
1119,33.1
1121,33.1
1123,33.1
1125,33.12
1127,33.14
1129,33.18
1131,33.2
1133,33.24
1135,33.24
1137,33.24
1139,33.24
1141,33.24
1143,33.22
1145,33.22
1147,33.26
1149,33.28
1152,33.32
1154,33.36
1156,33.4
1158,33.4
1160,33.4
1162,33.4
1164,33.4
1166,33.4
1168,33.4
1170,33.4
1172,33.4
1174,33.4
1176,33.4
1178,33.4
1180,33.4
1182,33.4
1184,33.4
1186,33.42
1188,33.42
1190,33.44
1192,33.46
1194,33.48
1196,33.48
1198,33.5
1200,33.5
1202,33.52
1204,33.52
1206,33.52
1208,33.54
1210,33.54
1212,33.54
1214,33.54
1216,33.56
1218,33.56
1220,33.58
1222,33.58
1224,33.6
1226,33.6
1228,33.6
1230,33.6
1232,33.6
1234,33.6
1236,33.6
1238,33.6
1240,33.6
1242,33.6
1244,33.6
1246,33.6
1248,33.6
1250,33.6
1252,33.6
1254,33.6
1256,33.6
1258,33.62
1260,33.62
1262,33.62
1264,33.64
1266,33.66
1268,33.66
1270,33.68
1272,33.7
1274,33.7
1276,33.7
1278,33.7
1280,33.7
1282,33.7
1284,33.7
1287,33.7
1289,33.7
1291,33.7
1293,33.7
1295,33.7
1297,33.7
1299,33.7
1301,33.72
1303,33.72
1305,33.76
1307,33.8
1309,33.84
1311,33.86
1313,33.88
1315,33.86
1317,33.84
1319,33.84
1321,33.84
1323,33.86
1325,33.88
1327,33.9
1329,33.9
1331,33.9
1333,33.9
1335,33.9
1337,33.9
1339,33.9
1341,33.9
1343,33.92
1345,33.94
1347,33.96
1349,33.96
1351,33.96
1353,33.94
1355,33.94
1357,33.94
1359,33.94
1361,33.96
1363,33.98
1365,33.98
1367,33.96
1369,33.98
1371,33.98
1373,33.98
1375,33.98
1377,34.0
1379,34.02
1381,34.02
1383,34.04
1385,34.06
1387,34.08
1389,34.08
1391,34.1
1393,34.1
1395,34.1
1397,34.1
1399,34.1
1401,34.1
1403,34.1
1405,34.1
1407,34.08
1409,34.08
1411,34.08
1413,34.08
1415,34.08
1418,34.08
